Accident_index,Year,Month,Day,Hour,Minute,District,Death_num,Injury_num,Climate,Light,Road_category,Speed_limit,Road_type,Accident_location,Pavement,Road_condition,Road_defect,Barrier,Sight_distance,Signal_type,Signal_action,Accident_type,Causing_factor,injury_degree,Main_injury,Protective_equipement,Action_status,Driving_qualifications,Driving_type,Drinking_situation,Impact_site,Run_away,Job,GPS_X,GPS_Y,License_num,ID_card,Car_type,Timestamp
1502,2023,9,5,16,2,West,0,1,5,2,6,50,3,2,1,4,4,6,6,4,4,18,43,2,9,1,12,1,10,2,16,1,13,120.65787,24.146735,XAN-7866,S120561459,B12,1693929720
1503,2023,9,5,16,4,Nantun,0,0,5,,6,50,,,,,,,,,,13,59,,,,,1,,1,,1,6,120.627944,24.121676,QTV-5120,F113072343,B03,1693929840
1504,2023,9,5,16,6,Beitun,0,0,5,,6,80,,,,,,,,,,13,7,,,,,1,,1,,1,12,120.720743,24.169715,QNY-8125,Z262935464,B03,1693929960
1505,2023,9,5,16,9,Fengyuan,0,0,5,,6,50,,,,,,,,,,12,8,,,,,1,,2,,1,13,120.721919,24.277857,RLS-471,A220536941,B03,1693930140
1506,2023,9,5,16,10,Fengyuan,0,1,5,2,6,50,3,1,1,4,4,6,6,4,4,11,39,3,10,3,6,1,8,2,1,1,13,120.736911,24.266808,BUW-68,H174021103,B03,1693930200
1507,2023,9,5,16,12,Fengyuan,0,1,5,2,6,50,5,2,1,4,4,6,6,1,1,16,11,3,10,3,5,1,8,2,5,1,6,120.721531,24.246705,WXW-2582,V132062753,B03,1693930320
1508,2023,9,5,16,12,Kamioka,0,1,5,1,6,50,13,9,1,4,4,6,6,1,1,13,59,2,9,1,9,1,10,2,11,1,12,120.698052,24.258762,GGB-6696,F249961464,B03,1693930320
1509,2023,9,5,16,12,Kamioka,0,1,7,2,6,50,13,9,1,4,4,6,6,4,4,17,76,3,10,5,13,1,8,2,4,1,13,120.630438,24.273645,QFB-3937,Z178395389,C03,1693930320
1510,2023,9,5,16,15,Beitun,0,1,5,2,6,50,3,1,1,4,4,6,6,1,1,3,10,3,10,3,6,1,8,2,1,1,12,120.682258,24.188268,POY-9448,W289706790,B03,1693930500
1511,2023,9,5,16,15,Longjing,0,2,6,2,6,50,4,1,1,4,4,6,6,2,1,15,84,2,9,1,9,1,8,2,11,1,12,120.585792,24.186222,GJS-7523,K264386563,B03,1693930500
1512,2023,9,5,16,16,South,0,0,5,,6,50,,,,,,,,,,,7,,,,,1,,2,,1,13,120.669858,24.123423,BTJ-7345,F289089058,C03,1693930560
1513,2023,9,5,16,16,Dali,0,0,5,2,6,50,3,2,1,4,4,6,6,1,1,13,59,,,,,1,,2,,1,13,120.684454,24.119006,WEX-8826,U255991328,C03,1693930560
1514,2023,9,5,16,18,Beitun,0,0,5,,6,50,,,,,,,,,,17,84,,,,,1,,1,,1,13,120.681008,24.170996,EYC-8133,D248040899,B02,1693930680
1515,2023,9,5,16,19,Beitun,0,0,5,,6,50,,,,,,,,,,17,76,,,,,1,,1,,1,12,120.687491,24.188243,SEH-2532,E298466931,B03,1693930740
1516,2023,9,5,16,20,Daya,0,0,5,,6,30,,,,,,,,,,,49,,,,,1,,2,,1,12,120.65278,24.224367,PSC-8885,R273491854,C03,1693930800
1517,2023,9,5,16,22,Xitun,0,1,5,1,6,40,13,8,1,4,4,6,6,4,4,17,84,2,9,1,9,1,10,2,14,1,12,120.618449,24.181187,QHB-7283,U271829862,B03,1693930920
1518,2023,9,5,16,25,Xitun,0,0,5,,6,50,,,,,,,,,,13,84,,,,,1,,9,,1,12,120.661417,24.171805,RDX-2700,Q122939701,B03,1693931100
1519,2023,9,5,16,26,Wuri,0,0,5,1,6,50,13,9,1,5,4,6,6,4,4,17,85,,,,,1,,2,,1,12,120.640207,24.105152,AQI-7277,E242784081,C03,1693931160
1520,2023,9,5,16,27,Taiping,0,0,5,,6,50,,,,,,,,,,13,7,,,,,1,,2,,1,12,120.714586,24.131785,MKR-3574,A210548793,B12,1693931220
1521,2023,9,5,16,30,West,0,1,5,2,6,50,4,1,1,4,4,6,6,1,1,16,65,3,10,5,5,1,8,2,2,1,9,120.678,24.134074,CLP-2726,N250222896,B02,1693931400
1522,2023,9,5,16,30,Dali,0,1,5,2,6,50,13,9,1,4,4,6,6,4,4,17,45,3,10,3,11,1,8,2,4,1,12,120.695147,24.079477,FFQ-7282,Z182685967,B03,1693931400
1523,2023,9,5,16,30,Qingshui,0,0,5,,6,50,,,,,,,,,,17,76,,,,,1,,2,,1,12,120.578068,24.271805,AWR-3344,Z136526327,B03,1693931400
1524,2023,9,5,16,33,North,0,1,5,2,6,50,5,1,1,4,4,6,6,2,1,16,47,3,10,3,5,1,8,2,1,1,12,120.686252,24.15482,IWI-6244,C234650827,B03,1693931580
1525,2023,9,5,16,34,Dali,0,1,5,3,6,60,3,2,1,4,4,6,6,1,1,17,51,3,10,3,1,1,8,2,8,1,6,120.664002,24.107922,GEQ-1384,K179364824,C03,1693931640
1526,2023,9,5,16,35,Tanzi,0,0,5,,6,50,,,,,,,,,,,59,,,,,1,,2,,1,13,120.699236,24.18797,JKZ-2565,R134795602,C03,1693931700
1527,2023,9,5,16,35,Nantun,0,0,5,,6,50,,,,,,,,,,9,51,,,,,1,,1,,1,13,120.637471,24.149263,SPO-6167,R179180734,B03,1693931700
1528,2023,9,5,16,35,Kamioka,0,0,5,,6,50,,,,,,,,,,16,59,,,,,1,,2,,1,12,120.649498,24.282752,WCV-3816,J157964288,C03,1693931700
1529,2023,9,5,16,38,Daya,0,2,5,1,6,50,13,9,1,4,4,6,6,4,4,17,39,2,8,1,11,1,10,2,14,1,13,120.649063,24.225249,IIS-247,Y174425024,C03,1693931880
1530,2023,9,5,16,38,North,0,0,5,,6,50,,,,,,,,,,14,50,,,,,1,,1,,1,13,120.678188,24.16757,PUN-3746,H286854572,B12,1693931880
1531,2023,9,5,16,40,Beitun,0,0,5,,6,50,,,,,,,,,,,84,,,,,1,,2,,1,12,120.701988,24.164612,WZD-6922,D261230500,B03,1693932000
1532,2023,9,5,16,41,Beitun,0,1,5,1,6,40,5,1,1,4,4,6,6,4,4,18,59,2,9,5,9,1,10,2,12,1,13,120.696204,24.183675,XZE-8720,O294844521,B03,1693932060
1533,2023,9,5,16,41,Xitun,0,1,5,2,6,50,4,1,1,4,4,6,6,3,1,17,24,2,9,1,9,3,19,2,12,1,13,120.62673,24.180228,FOW-9449,T120457523,B03,1693932060
1534,2023,9,5,16,50,North,0,1,5,3,6,50,4,1,1,4,4,6,6,2,1,16,11,3,10,3,6,1,8,2,5,1,13,120.694326,24.155623,OAO-7216,H140025026,B02,1693932600
1535,2023,9,5,16,51,Beitun,0,0,5,,6,50,,,,,,,,,,17,85,,,,,1,,2,,1,12,120.718827,24.163119,QKV-2466,S150714096,B03,1693932660
1536,2023,9,5,16,58,Xitun,0,0,5,,6,50,,,,,,,,,,12,8,,,,,1,,9,,1,13,120.64238,24.169413,QSS-9255,A278032169,B03,1693933080
1537,2023,9,5,17,0,North,0,0,5,,6,50,,,,,,,,,,12,8,,,,,1,,1,,1,13,120.681683,24.155416,RUD-539,I293458804,B03,1693933200
1538,2023,9,5,17,1,West,0,2,5,2,6,50,4,1,1,4,4,6,6,2,1,16,36,2,9,1,6,1,10,2,14,1,13,120.662491,24.155531,MSD-2819,E145430274,C03,1693933260
1539,2023,9,5,17,1,Shalu,0,1,5,1,6,50,3,1,1,4,4,6,6,4,4,17,48,3,10,3,6,1,8,2,8,1,6,120.559954,24.238371,HQW-1317,M164915398,,1693933260
1540,2023,9,5,17,2,Central,0,1,5,1,6,50,4,1,1,4,4,6,6,2,1,3,10,3,10,3,6,1,4,2,8,1,6,120.682199,24.140089,KKY-5529,C220010370,B03,1693933320
1541,2023,9,5,17,5,South,0,0,5,2,6,50,4,1,1,4,4,6,5,2,1,15,21,3,10,3,9,1,7,2,8,1,12,120.657943,24.117891,YEF-8059,V196358730,B03,1693933500
1542,2023,9,5,17,5,Qingshui,0,0,5,,6,50,,,,,,,,,,,26,,,,,1,,1,,1,12,120.540499,24.289562,KBG-3842,Q281950214,B03,1693933500
1543,2023,9,5,17,7,West,0,0,5,,6,50,,,,,,,,,,16,35,,,,,1,,2,,1,13,120.668252,24.129932,GRV-3807,V222426947,B03,1693933620
1544,2023,9,5,17,7,Beitun,0,1,5,1,6,50,3,2,1,4,4,6,6,4,4,11,11,3,10,3,6,1,8,2,1,1,13,120.705851,24.172942,XVX-4771,B142582763,H01,1693933620
1545,2023,9,5,17,10,Xitun,0,0,5,,6,30,,,,,,,,,,14,49,,,,,1,,2,,1,6,120.66662,24.173832,WZE-8419,V252487690,B03,1693933800
1546,2023,9,5,17,13,South,0,0,5,,6,50,,,,,,,,,,,84,,,,,1,,2,,1,12,120.680817,24.120743,FPJ-5735,V187441272,B03,1693933980
1547,2023,9,5,17,15,Dadu,0,2,5,2,6,30,3,1,1,4,4,6,6,4,4,11,8,2,9,1,6,1,10,2,14,1,6,120.558381,24.121994,ORZ-5437,D236200656,B03,1693934100
1548,2023,9,5,17,15,Dadu,0,0,5,,6,50,,,,,,,,,,13,7,,,,,1,,2,,1,6,120.568344,24.121548,FTG-1896,X280069185,,1693934100
1549,2023,9,5,17,17,Beitun,0,0,5,,6,50,,,,,,,,,,14,49,,,,,1,,1,,1,13,120.712792,24.176573,SZC-6282,N231231869,C03,1693934220
1550,2023,9,5,17,18,Kamioka,0,1,5,3,6,30,13,9,1,4,4,6,6,4,4,17,7,2,8,1,9,1,10,2,11,1,13,120.68048,24.267409,SWJ-3095,J174313284,C03,1693934280
1551,2023,9,5,17,19,Nantun,0,0,5,,6,50,,,,,,,,,,,40,,,,,1,,1,,1,12,120.640799,24.15466,MIV-5221,Z182224545,B03,1693934340
1552,2023,9,5,17,21,West,0,0,5,,6,60,,,,,,,,,,,8,,,,,1,,9,,1,6,120.659687,24.157317,XPM-868,O260082578,C03,1693934460
1553,2023,9,5,17,21,Xitun,0,0,5,,6,80,,,,,,,,,,,84,,,,,1,,1,,1,13,120.634948,24.179291,HQB-9037,O268749838,B03,1693934460
1554,2023,9,5,17,22,Tanzi,0,0,5,,6,80,,,,,,,,,,13,59,,,,,1,,2,,1,13,120.722426,24.190226,AZR-8987,N297747784,B03,1693934520
1555,2023,9,5,17,22,Nantun,0,0,5,,6,50,,,,,,,,,,9,84,,,,,1,,1,,1,6,120.647759,24.142384,KNK-9730,G235210776,C03,1693934520
1556,2023,9,5,17,24,Wuqi,0,0,5,,6,60,,,,,,,,,,13,59,,,,,1,,1,,1,6,120.524949,24.223792,YUQ-1275,R169002634,C03,1693934640
1557,2023,9,5,17,25,Taiping,0,2,5,1,6,50,3,1,1,4,4,6,6,4,4,18,59,2,9,1,9,1,10,2,14,1,12,120.703591,24.112366,JCN-8988,S229472235,F03,1693934700
1558,2023,9,5,17,26,Tanzi,0,0,5,,6,50,,,,,,,,,,,49,,,,,1,,2,,1,12,120.709596,24.204757,PPZ-6695,R148991204,B03,1693934760
1559,2023,9,5,17,27,East,0,1,5,1,6,50,4,1,1,4,4,6,6,4,4,15,12,3,10,3,9,1,8,2,5,1,6,120.684315,24.125075,UOR-6119,Y111090847,B03,1693934820
1560,2023,9,5,17,29,Tanzi,0,1,5,3,6,50,4,2,1,4,4,6,6,1,1,18,59,2,9,1,9,1,10,2,11,1,13,120.714775,24.199954,ACV-6362,R218077244,C03,1693934940
1561,2023,9,5,17,30,Beitun,0,0,5,,6,50,,,,,,,,,,13,7,,,,,1,,2,,1,12,120.710719,24.18224,ZJF-2459,H241148178,B03,1693935000
1562,2023,9,5,17,30,Dongshi,0,0,5,,6,50,,,,,,,,,,,14,,,,,1,,1,,1,12,120.83107,24.258183,EIN-3542,S154328177,B03,1693935000
1563,2023,9,5,17,30,Kamioka,0,0,5,,6,50,,,,,,,,,,,59,,,,,1,,1,,1,13,120.692117,24.248174,KMD-1878,B119567309,B03,1693935000
1564,2023,9,5,17,32,Taiping,0,0,5,,6,50,,,,,,,,,,13,59,,,,,1,,2,,1,13,120.723267,24.144935,QNL-7924,R246782669,C03,1693935120
1565,2023,9,5,17,33,North,0,0,5,,6,50,,,,,,,,,,9,59,,,,,1,,2,,1,12,120.680371,24.160473,XVX-9018,D248396029,B03,1693935180
1566,2023,9,5,17,33,Xitun,0,0,5,,6,50,,,,,,,,,,,84,,,,,1,,11,,1,13,120.636224,24.158232,TUY-8182,A151518178,C03,1693935180
1567,2023,9,5,17,33,Fengyuan,0,0,5,1,6,50,13,8,1,4,4,6,6,4,4,8,40,3,10,3,7,1,3,9,2,2,6,120.700514,24.249386,WHE-8549,Y216503023,B03,1693935180
1568,2023,9,5,17,34,West,0,0,7,,6,50,,,,,,,,,,,84,,,,,1,,1,,1,13,120.673911,24.134386,SSE-590,T158753177,B03,1693935240
1569,2023,9,5,17,34,Nantun,0,0,5,,6,50,,,,,,,,,,13,59,,,,,1,,1,,1,12,120.636585,24.154026,FJS-8322,L181905563,B03,1693935240
1570,2023,9,5,17,34,Dali,0,0,5,,6,50,,,,,,,,,,13,7,,,,,1,,2,,1,13,120.68988,24.112993,QYD-8032,F256097971,B03,1693935240
1571,2023,9,5,17,35,East,0,1,5,2,6,50,4,1,1,4,4,6,6,2,1,16,11,3,10,3,6,1,8,2,6,1,12,120.689069,24.134083,YKY-8461,Q284690455,B03,1693935300
1572,2023,9,5,17,35,Xitun,0,2,5,1,6,40,13,8,1,4,4,5,6,4,4,17,7,2,9,1,9,1,10,9,11,1,12,120.63454,24.203957,JKG-5129,R195062073,B03,1693935300
1573,2023,9,5,17,35,Dali,0,0,5,,6,50,,,,,,,,,,13,7,,,,,1,,9,,1,13,120.689842,24.112986,CBG-7176,O234850000,B03,1693935300
1574,2023,9,5,17,35,Dajia,0,0,5,,6,50,,,,,,,,,,14,49,,,,,1,,1,,1,12,120.613442,24.348945,BLZ-7562,A243040959,B03,1693935300
1575,2023,9,5,17,36,South,0,0,5,,6,50,,,,,,,,,,,7,,,,,1,,2,,1,12,120.662411,24.120844,YPJ-3283,Q131715647,C03,1693935360
1576,2023,9,5,17,36,Beitun,0,0,5,,6,40,,,,,,,,,,17,85,,,,,1,,11,,1,13,120.690538,24.194145,SPK-8615,U290129380,B03,1693935360
1577,2023,9,5,17,37,East,0,1,5,1,6,50,4,1,1,4,4,6,6,4,4,3,10,3,10,5,6,1,8,9,4,2,6,120.687556,24.141546,OJI-6180,Z228788552,B03,1693935420
1578,2023,9,5,17,37,Longjing,0,1,5,1,6,50,5,1,1,4,4,6,6,2,1,15,21,3,10,3,9,1,8,2,6,1,12,120.580265,24.188934,ERY-1692,A281868942,C03,1693935420
1579,2023,9,5,17,38,Xitun,0,1,5,1,6,50,13,9,1,4,4,6,6,4,4,17,76,3,10,3,14,1,8,2,4,1,12,120.658017,24.195392,ULT-1005,J174174346,F01,1693935480
1580,2023,9,5,17,40,Wufeng,0,1,5,1,6,50,4,1,1,4,4,6,6,1,1,17,49,3,10,3,2,1,8,2,7,1,12,120.690583,24.048444,DAI-3179,O111221439,B03,1693935600
1581,2023,9,5,17,40,Wufeng,0,1,5,1,6,40,13,9,1,4,4,6,6,4,4,18,84,2,9,2,9,1,10,2,12,1,12,120.664204,24.077789,QGY-3570,G279739012,F02,1693935600
1582,2023,9,5,17,41,Central,0,1,5,1,6,50,3,2,1,4,4,6,6,4,4,16,51,2,9,1,1,1,10,2,12,1,13,120.678042,24.144448,QNN-3426,H226849713,B03,1693935660
1583,2023,9,5,17,41,Xitun,0,1,5,1,6,50,3,1,1,4,4,6,6,4,4,9,84,3,10,1,9,1,10,2,11,1,13,120.648851,24.160012,WQZ-9531,N295540057,B03,1693935660
1584,2023,9,5,17,41,Dali,0,0,5,,6,50,,,,,,,,,,13,7,,,,,1,,2,,1,13,120.696931,24.085287,RAW-6654,Q174398986,B03,1693935660
1585,2023,9,5,17,42,Tanzi,0,1,5,1,6,60,13,9,1,4,4,6,6,4,4,2,58,3,10,2,9,1,10,2,14,1,12,120.705125,24.21189,WAW-9253,K147817314,B03,1693935720
1586,2023,9,5,17,42,Wuri,0,0,5,,6,60,,,,,,,,,,13,7,,,,,1,,2,,1,6,120.620366,24.105564,GCE-5071,F173010318,C03,1693935720
1587,2023,9,5,17,42,Fengyuan,0,1,5,1,6,50,3,8,1,4,4,6,6,4,4,17,86,4,11,,,,,,,2,,120.725042,24.243485,OMF-8973,M228348230,B03,1693935720
1588,2023,9,5,17,43,Daya,0,1,5,1,6,50,4,1,1,4,4,6,6,1,1,17,11,3,10,3,5,1,8,2,2,1,13,120.65005,24.212034,SLW-5466,Q122834898,B01,1693935780
1589,2023,9,5,17,43,Xitun,0,1,5,2,6,50,13,9,1,4,4,6,6,4,4,18,83,2,9,5,9,1,8,2,12,1,13,120.646478,24.16364,EQQ-8484,N149959390,C03,1693935780
1590,2023,9,5,17,43,Wuri,0,3,5,1,6,50,13,9,1,4,4,6,6,4,4,13,7,2,8,2,9,3,19,2,11,1,12,120.632749,24.105462,AMA-3833,I161394339,B03,1693935780
1591,2023,9,5,17,44,West,0,0,5,,6,50,,,,,,,,,,17,78,,,,,1,,1,,1,13,120.659422,24.15667,SPB-5537,X120883546,C03,1693935840
1592,2023,9,5,17,44,Xitun,0,2,5,1,6,70,3,1,1,4,4,6,6,4,4,17,47,3,10,3,5,1,8,2,6,1,12,120.626986,24.17739,KEM-9730,C178648414,B03,1693935840
1593,2023,9,5,17,44,Dali,0,1,5,3,6,50,4,1,1,4,4,3,6,3,1,16,59,2,9,1,6,1,10,2,12,1,6,120.689372,24.100356,BTY-2445,L173942193,B03,1693935840
1594,2023,9,5,17,45,Xitun,0,2,5,1,6,40,13,8,1,4,4,6,6,4,4,17,7,2,9,1,9,1,10,2,11,1,12,120.63454,24.203957,GCJ-222,E258885468,C03,1693935900
1595,2023,9,5,17,45,Dajia,0,0,5,,6,70,,,,,,,,,,13,84,,,,,1,,1,,1,13,120.650733,24.380536,CMR-2320,J116086144,C03,1693935900
1596,2023,9,5,17,46,Nantun,0,1,5,2,6,50,4,2,1,4,4,6,6,2,1,12,8,2,9,1,9,1,10,1,14,1,6,120.646536,24.134684,NPY-1506,O194031477,B03,1693935960
1597,2023,9,5,17,48,East,0,0,5,,6,50,,,,,,,,,,,84,,,,,1,,2,,1,13,120.699831,24.13671,HIV-3521,Z185265077,B03,1693936080
1598,2023,9,5,17,49,Nantun,0,0,5,,6,50,,,,,,,,,,,59,,,,,1,,1,,1,12,120.614442,24.153471,WVE-6386,U122367775,C03,1693936140
1599,2023,9,5,17,50,Daya,0,0,7,,6,30,,,,,,,,,,,49,,,,,1,,1,,1,13,120.647819,24.227785,FQQ-8396,P254744980,B03,1693936200
1600,2023,9,5,17,50,South,0,0,5,,6,50,,,,,,,,,,,51,,,,,1,,2,,1,6,120.660928,24.113187,GCH-1911,B277236310,B03,1693936200
1601,2023,9,5,17,50,Kamioka,0,2,5,3,6,30,13,9,1,4,4,6,6,4,4,9,84,2,9,1,9,1,10,2,11,1,13,120.683335,24.274378,ZLU-4990,K177735126,B12,1693936200
1602,2023,9,5,17,51,Houli,0,0,5,,6,50,,,,,,,,,,13,59,,,,,1,,2,,1,12,120.729569,24.309233,SRH-2321,Q136525866,B03,1693936260
1603,2023,9,5,17,53,Dajia,0,1,5,1,6,50,3,1,1,4,4,6,6,1,1,16,59,3,10,3,6,1,8,2,8,1,6,120.631796,24.340315,SIC-6398,G118328670,C03,1693936380
1604,2023,9,5,17,54,Wufeng,0,0,5,,6,40,,,,,,,,,,13,7,,,,,1,,2,,1,13,120.662811,24.070503,EMD-9255,Y281935898,B03,1693936440
1605,2023,9,5,17,54,Taiping,0,0,5,,6,50,,,,,,,,,,16,24,,,,,1,,2,,1,12,120.716545,24.126517,FKT-2207,J298298682,B03,1693936440
1606,2023,9,5,17,55,East,0,1,5,1,6,50,4,1,1,4,4,6,6,1,1,16,11,3,10,3,5,1,8,2,2,1,6,120.706185,24.146172,TPX-483,N174007249,C03,1693936500
1607,2023,9,5,17,55,Nantun,0,0,5,,6,50,,,,,,,,,,13,59,,,,,1,,1,,1,13,120.636627,24.154458,DCK-6122,H242886831,C03,1693936500
1608,2023,9,5,17,55,Fengyuan,0,0,5,,6,50,,,,,,,,,,12,20,,,,,1,,2,,1,6,120.714916,24.249478,JYV-6060,F299314557,B03,1693936500
1609,2023,9,5,17,56,Xitun,0,0,5,,6,40,,,,,,,,,,12,85,,,,,1,,9,,1,12,120.637592,24.172848,EWR-1609,N236966930,C03,1693936560
1610,2023,9,5,17,58,Beitun,0,0,5,,6,50,,,,,,,,,,,40,,,,,1,,1,,1,13,120.721606,24.182454,LOW-7057,S292566577,B03,1693936680
1611,2023,9,5,17,58,Taiping,0,2,5,3,6,40,13,8,1,4,4,6,6,4,4,12,83,2,9,2,9,3,19,2,12,1,12,120.723202,24.111893,QWY-9402,D182760664,B03,1693936680
1612,2023,9,5,18,3,South,0,0,5,2,6,50,3,9,1,4,4,6,6,4,4,13,59,3,10,3,9,1,4,2,1,1,12,120.67174,24.11485,EFU-3606,A222713045,C03,1693936980
1613,2023,9,5,18,3,South,0,0,5,,6,50,,,,,,,,,,,40,,,,,1,,2,,1,12,120.670191,24.114284,VFV-4254,S152791984,B03,1693936980
1614,2023,9,5,18,3,Xitun,0,1,5,1,6,40,13,8,1,4,4,6,6,4,4,17,84,2,9,1,9,1,10,1,11,1,13,120.648152,24.163883,LXB-3088,L251822822,B12,1693936980
1615,2023,9,5,18,4,South,0,0,5,2,6,50,13,7,1,4,4,6,6,4,4,13,59,3,10,3,9,1,8,2,1,1,12,120.666366,24.113428,TAD-1975,L224855416,B03,1693937040
1616,2023,9,5,18,4,Houli,0,1,5,1,6,50,4,1,1,4,4,6,6,1,1,16,48,3,10,3,6,1,8,2,2,1,12,120.695856,24.311356,VBW-3404,N294649114,B03,1693937040
1617,2023,9,5,18,5,Xitun,0,0,5,,6,50,,,,,,,,,,,87,,,,,1,,1,,1,13,120.608866,24.155672,WWI-2444,P240569234,B03,1693937100
1618,2023,9,5,18,7,Nantun,0,0,5,,6,50,,,,,,,,,,12,8,,,,,1,,2,,1,6,120.640618,24.149083,WCK-3734,H290423311,B03,1693937220
1619,2023,9,5,18,7,Kamioka,0,1,5,3,6,50,18,9,1,4,4,6,6,4,4,17,7,2,9,1,9,1,10,2,11,1,13,120.656201,24.26106,CEW-9249,Q174225675,B03,1693937220
1620,2023,9,5,18,9,Tanzi,0,1,5,1,6,30,11,9,1,4,4,6,6,4,4,19,59,2,9,1,9,1,10,2,11,1,13,120.709264,24.223081,ADM-2754,X267744600,B12,1693937340
1621,2023,9,5,18,9,Xitun,0,0,5,,6,80,,,,,,,,,,,83,,,,,3,,1,,1,13,120.634948,24.179291,SWE-7231,C125715111,B03,1693937340
1622,2023,9,5,18,10,Qingshui,0,0,5,,6,50,,,,,,,,,,13,56,,,,,1,,2,,1,12,120.576728,24.276067,NUP-1817,Z289942018,B03,1693937400
1623,2023,9,5,18,14,Xitun,0,1,5,1,6,50,13,9,1,4,4,6,6,4,4,17,7,2,9,3,9,1,8,2,1,1,12,120.646196,24.169949,FWF-4243,Y212418090,B03,1693937640
1624,2023,9,5,18,15,Tanzi,0,0,5,,6,60,,,,,,,,,,13,59,,,,,1,,2,,1,13,120.687034,24.211996,LGG-1283,N223947686,B03,1693937700
1625,2023,9,5,18,15,East,0,0,5,,6,50,,,,,,,,,,,49,,,,,1,,2,,1,13,120.708312,24.136272,AJS-4789,S264004815,B03,1693937700
1626,2023,9,5,18,15,Xitun,0,0,5,,6,50,,,,,,,,,,,14,,,,,1,,1,,1,13,120.606299,24.188373,KBN-4656,H113316863,B12,1693937700
1627,2023,9,5,18,16,Nantun,0,0,5,,6,50,,,,,,,,,,13,7,,,,,1,,1,,1,13,120.635151,24.13154,FED-6657,S266174120,B11,1693937760
1628,2023,9,5,18,16,Nantun,0,1,5,1,6,50,13,9,1,4,4,6,6,4,4,13,59,3,10,3,9,1,8,2,5,1,6,120.638347,24.135286,KXM-7553,Z138392848,B03,1693937760
1629,2023,9,5,18,17,West,0,2,5,1,6,50,4,1,1,4,4,6,6,2,1,15,21,2,9,1,9,1,10,2,11,1,6,120.666736,24.141067,BFU-3780,Z287354540,B03,1693937820
1630,2023,9,5,18,20,Xitun,0,0,5,,6,50,,,,,,,,,,12,40,,,,,1,,1,,1,12,120.617809,24.181391,OWZ-7031,W275694111,,1693938000
1631,2023,9,5,18,20,Waipu,0,1,5,1,6,30,3,1,1,4,4,6,6,4,4,16,12,3,10,3,5,1,8,2,8,1,12,120.637915,24.341561,DTQ-7913,E117294215,B03,1693938000
1632,2023,9,5,18,20,Kamioka,0,1,5,1,6,50,11,9,1,4,4,6,6,4,4,19,55,2,8,2,9,1,10,2,12,1,13,120.640778,24.249529,DUT-3710,X153970944,B03,1693938000
1633,2023,9,5,18,21,Beitun,0,1,5,1,6,50,13,9,1,4,4,6,6,4,4,30,84,2,7,1,9,1,10,2,11,1,12,120.747036,24.192957,EZW-6259,Z267319865,C03,1693938060
1634,2023,9,5,18,22,Xitun,0,0,5,,6,40,,,,,,,,,,,84,,,,,1,,1,,1,13,120.641008,24.175474,TZI-556,N230747402,B02,1693938120
1635,2023,9,5,18,23,Nantun,0,1,5,1,6,50,4,1,1,4,4,6,6,3,1,16,65,3,10,3,5,1,8,2,2,1,12,120.650929,24.157394,JKT-629,Z160764792,C03,1693938180
1636,2023,9,5,18,24,Xitun,0,0,5,,6,50,,,,,,,,,,,7,,,,,1,,1,,1,12,120.641191,24.20222,CIN-7153,M192286161,B03,1693938240
1637,2023,9,5,18,24,Xitun,0,1,5,1,6,50,4,1,1,4,4,6,6,2,1,30,84,2,9,2,9,1,10,2,11,1,12,120.642423,24.177408,DEZ-6075,O216761104,B03,1693938240
1638,2023,9,5,18,24,Fengyuan,0,0,5,,6,50,,,,,,,,,,12,8,,,,,,,,,1,,120.70069,24.248869,XVU-9592,Y241654814,C03,1693938240
1639,2023,9,5,18,25,Xitun,0,0,5,,6,1,,,,,,,,,,14,49,,,,,1,,1,,1,13,120.644794,24.173523,ARM-1914,E150633202,C03,1693938300
1640,2023,9,5,18,28,Wufeng,0,1,5,1,6,50,4,1,1,4,4,6,6,1,1,16,51,2,8,5,1,1,10,2,11,1,13,120.698302,24.061913,BPP-1883,N130405189,B03,1693938480
1641,2023,9,5,18,28,Dajia,0,3,5,1,6,50,4,1,1,4,4,6,6,4,4,15,59,2,8,1,9,1,10,2,12,1,12,120.620233,24.353834,DPC-8631,S255693149,B03,1693938480
1642,2023,9,5,18,29,Beitun,0,0,5,,6,50,,,,,,,,,,13,59,,,,,1,,1,,1,13,120.686073,24.182423,OVW-2421,G273790402,C03,1693938540
1643,2023,9,5,18,30,Nantun,0,0,5,,6,50,,,,,,,,,,12,35,,,,,1,,9,,1,6,120.649912,24.136676,JPD-5314,I235185903,B03,1693938600
1644,2023,9,5,18,30,Wuqi,0,1,5,1,6,30,13,9,1,4,4,6,6,4,4,22,87,2,8,1,9,1,10,2,12,1,6,120.528917,24.258464,UQA-6965,W128977809,B12,1693938600
1645,2023,9,5,18,30,Kamioka,0,0,5,,6,30,,,,,,,,,,14,49,,,,,1,,2,,1,13,120.707488,24.258906,JJI-8798,M293860051,C03,1693938600
1646,2023,9,5,18,34,West,0,1,5,1,6,40,3,2,1,4,4,6,6,4,4,30,84,2,9,1,9,1,10,2,14,1,13,120.661572,24.15587,XZH-7203,M211680073,B03,1693938840
1647,2023,9,5,18,35,Longjing,0,0,5,,6,50,,,,,,,,,,13,7,,,,,1,,2,,1,12,120.57372,24.18543,IUQ-7243,R184978161,B03,1693938900
